donation_id,campaign_id,donor_id,amount,created_at,encrypted_amount
0,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1855000,2024-06-11 14:31:28.293,337254325686807650249352989997684252090488919750322612441159457548614069753718211140434363089565752266114559551142923742445254230433599586582479280716021586648104944104921856298026477306514089884813064548617742896628009506215273359243980790713600447292752939419079126852580931615878028510139220441635498500420529933958228360769561723230529455739037491042207100505818651680919968820163941567155035662400078684615385775041330008794857611356888901080265094248519309389793590391505607500347085004726403489802866044242965681265426597148125992249794572464804361467113010824407156315739974719158434145557747998622221289319725461886898995846044357259902209408556915500062726180763581852706865581692707593731986848833233161806876091001952556873838617552385276547423059423152708289685931655012988248208026337953681983503720271019193382468502059157151103724801823433970402860799900322723234333264559911802694546577034277403253784930865198207648194382997051326110216768209348475262192339860701961791767164116354747915181810898032805180398486901402430468925716059023587180011263774807739965090654178901196426203397861793779542926375723245765137636809711344308186725386891178827843698113328159633571230132875185364221663726406367913296950639880091214796159886109898886427842276926563512847972615996058325833809413109902608079298347739964852193939989400154930379930353397150609616022022438394218924019283312388903121899533656360658934626749647821607832043991300398566187471409277861220981442865315641177787866733527075461716011374289569847035947327557669140492787969112766278334194907932401306322121495194599535004808083839558748769244481356605553834668605495066363758432021583780689948774772215190160729684974653437494089716160583857626703948097196192934438082798851669542986699219949345733334342689420666149042713610487541183082052102014646050202121017138410056697847629269682050198421851145342081025348199099029946083458407167467100760513551021461505051530058721705792790844377114070137673806122424839637596349825842009151066009835428122818989256513273228409760413577267211015589525395016565556357329577876015542007556650931303119393124047464946936197215805648258602518286234285103628404383232324445502189908466080842014280928071734086965648184953432503589725944349530724112683551629924350967303252039678733090346834347680388741844714254920230998433243257473398201787529412896337862003812338084215674093174599553410384238317841104669609814299307404936623783144518807498952212468
1,1,aef9f51f-6292-4bae-87db-c1962c2a616a,188000,2024-06-11 14:31:28.497,130053835701094988853261626384870815594367223670586184527598458659494699379900162269551761902797892441475386064910494051998160508182994789608018642125358746647537989227389859837444571584764341436284582813582017678240413025514172537722973056349632732970164346729001036299299114103869952153826143366059647956195127255661429686705662205585445751886632473574023263311966538626110600602551088316593928082648780852414893819223922512215096144752346784836993782186103756042905958059241351771078044394055004160046360469150200477106114731564231912016419099351324743163178565829333177192003769738805530810037954927469045028653350129648407388487295068140067792758204560381874501673902478694709324857704628341869174854261425171789365960803592289053737674409168660119170455717986364349447057745685426315143863909165763158287010737009561949791544297436256239159043837580235533756321620428094330333124399401996284842384027243918078299926437763526748459543894501269284437483771811701427682604923995355219731447534020133118080871998079309402154366939286130021888828882534541913945506795347669832368509015252220796280600638227211608423442076979192439848280930640497695357883822565430986538024193887020049642719221606846033043747762395460917269948950204971328580464435536304897697605317916572592004234359022130488368452239210808261286823900156829323381006986586515988187351223844440857607512470892143166289909125012258231431117785557698685503781980003327965454517437053721503644157658506310203852213386208681728729960256991632667270411092062479222044977640124139116588073860970556164313653231422096963533235094189508116303996659216725818890517118035765463384606549419428598670237448036071942666044172962615923008957157174763734707398121809852510739146733819035921495406927589765268819207009368362404106763632855131836384246514770644500459120910154650357905299708353460621866931993936188723442381401090816981453438865633766347673942572993442214196048990406197002551242489502560483518696601086381399781328273360353299069665002351011160590349819441283255374216470482538999465071747905926435125926948673149980460976965942068835109410192848417372568078485749530072691940643889086476901002378000320600998389043292751316034593301071168653157561656503726680688336285932250879823093057986094232623298156061101194728130593391355108963466121089953664645452637173881815729076794624805361513311934435656907091641776137627245784181677732314574121623260903558124028667983605274063952594132540493240035
2,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1906000,2024-06-11 14:31:28.681,370524643276625405399943776981906561930820047646170132218573084011059276893894238941931982560455738916323427696243258072817762625238190028503395369217991785057322098717219084382668132388283410049369359139991762089158774845072574100914634485122239229794645476791130135850103828618300429861128653604315455811265556453421865568951801916462323302831672680149657196108452984683303587230285335124095258464451271468628232282454207091179355710355515236991360816295054734698621699112890046006271569495322239906122825019137160531627027456935529964276831853691669154853497560836783808022242436881438627923797601051898303275830876352529823053943807510585859776660137891735108808879650056890794771154484898753594744812651957260951122298770246469053453230723914043866097814781404545907656337977237455707046944327295932756521385496092814201952700512713804452577994116564363508126555558909606282513495634635845875804270194877312976066683204144678175349915291217996839349923787927879623350060437629698185667006131698312358436261097569658288454586584121969328863577489963072390403018885982608314118617998111066079461638198089386254431854210755487499059627032843763602595394656349186272519050378165553101671135114769480982225994555755607465306294115959296279187043935983607771806010055593552454637742274893412100031792197382302642774182029854469927775456444301776197432030083348315764285293132348575146270058088440178190111075010528766112205939100572420522488540360353685167696065852637582477267076092279459010882349755694860017216196699165108168311749415308404724250879792479985498401555240326859954381093569201175919248134042815224146148354802110840330156138345743934836614591716865453977719256204793473183348104156575160034171794452465717125691957225580760221426582520764627904877477741514714882424307021699337982796705206206970964461123634292985077337896104388021977255190844215232656182046776441631811132418269823636426113718884724623880480743914059240463490722071242316580349763601976779004529094091044984727675978879495017193429969836728545634230489040087979494585400049549479655358365071497162286113055065925006117141445170901373189205337808695393860009887031514387617933456269729583328765074763725743443255480497304482273119573663978028217403436101285697028884048506620331439729526763461483005388759404438769176482688489847317690452155145104184948590297012001027960210459521155079379297078736279348407529142060489909327270677147737685007394965692194234772808005532480316735882
3,1,aef9f51f-6292-4bae-87db-c1962c2a616a,890000,2024-06-11 14:31:28.863,348654563547118124515251208808108859264672399663323121378259573088936745592928378974564065599196815991719646512490135480944287758622888054072715031545118823461309610025785727568354551508510204907626715102611945515742667431777791420804107061503646588746882200647674632909737408184580985194008329246455825847495209615727080974242557152716864854605242581239083912810958081144375862931842370727340646754891273897254992083543260510198830730800046610967215095092402967922403501629331870804112906579796954291348964589863742189709465835391872842711688545790530412839696982062583938121431780382418287255305839029735137787378620901290856677502958400227182524583590742003383706514135675249756423848298887616173772119038441303518533427474595408564567373276079953532135951587966292516062855709847841715720158874332473803668417516121274969322467744120167739636922301534741425405198321272697376847395928859868211984528389165787425816535811434116398186454559376752272453866218325297754473471834491150012559103715797947652532721914787396435387984287791546129853927660854266357827398816195488117527440318656692514278092695273354538491232761153856844505570250647686709794164602597816902905995590496477091125284191860600829491437880012746696031930089921600284932665583507723478507510045191113790311719213872077377285687690710499970044781878928240956442434378773609856729782494993987998314065990963589969954643031822129031837836451167677757825993981698516795022244838104177381892738029801115993864567629756203689859234956155406891139824039912696645214375225086771586718371703606811874411460362952882074672541425218597550793098248328965034107110133688938463567930924762589789024958767521731793677672059857096089943828043428770763591950165892565206811150120544076738039322252685914439736560705935815244609934224145436776470142978113085693050212873868246544724233519103836755273420054078548010187431753826299619259883826251937031356230441235692364639550576500335348328049655894256279015476446912761786941949612054461385843310199407630142246637447428025687441598126025583532743118595200096078298954295018867033779453086159457772661892015774470958785440571729191062014445337710889285685115569702783263378164006867288294403489573718283980830301771702907366127335657692757297390655743904502259817896824468569178196609307652416178887551870283648797573002579502322361244245679026970977481313281057966066173590221615639848568910485728001897075772561366175549390720604571191708606667197114313776651
4,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1114000,2024-06-11 14:31:29.048,106487874755331559343377136063779963227161549096497689212785870380981756272125693102190370267895467922853730735593097302996770543445053736430382107218854698904163036168726775646453467595681876721775761892556179234678177305410064308210947390381792009587942681675948240385498774654840489383108641068414148440993888045400768709799513269834340335226795208434025495451797639763372781482811535781514970954454461974680316892533951969708027188292470289854087187709752390066673873782798660230374811577607796314786789699356161411881415652083140588004271558866136372057179825565073363692211381725239072257010745785444666790265353986726278647878916789814217591783616899617819940025725681556577545564071993811521907457681065757883372881295789462865875674997578658686610674940904694183665277380602699354505575011416884464194810053543387386641286228436503074021392619076596834385099805223662569453889864235180239461013749437726342617712190946012656464631428807393414081923881605334897216409280437717372049525327231482037337401772485006121633589495169225118608235708516690906475525810646427847261950402143399534872893320431573787791843826968586792182433238206388256376117867983703776662478740492204341109609459265787758468040656054041097734606507664767837861524266881074815296654585449586649441932209575806932246357621380849798537004256802912345746278539466246369636671816330358625313471070312278571432942612815221940414629131161061907165441185195547462296620959211575385550318313862490434191039709996659490220817205329390323139681029260108825824901094003731681807867138595067278553341489538565851236999906433285563812510381824661514939554396567076066701538353927385969672701016666284579260001695121346032311041100172434308047646623270868722796589261955979744609024784714390714912759652888633125450834131512623850367120958918661286083432527688222576830738595021647239129200241367507158633592832915343877787170676804930015846983218410558379602898116509354783302487471021326039746439385901935221467255933455889362231341374744328256653949000220929514996976335418134774840895485595651816267743878271041615132165669246345844777260547770701083270873719077008682425997816043853742671664490553944407697518351241229017728104167683206829477279108032559522533931500985833993766559963656234463356503873329486578682800272220499286928740057220108889873937245467336957817099933472303925425166526509147342052407987983807354719659750027946732117872239215858018815341802233272253324096072870810537491
5,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1641000,2024-06-11 14:31:29.233,31644067485126333547308160145096990018663210957646498417169495403183190360017737334161591029037053233759646909949232352041067004815422139031748922217971416687387908446556869977389990522410700836120837076309009904614841383124295185418891604816631017249190144626749657620792594212670847217529965374635841560083080759303016180504663234460834396189055607787165415390046724019084821370514011869506802137513084079445630609433072611213621453620714320520999012194346259075314659038286910041727479133342453749942646972205122078485549390499296578988436091681371901307034056721020437944230349490795270183921095977927221385028311821620200392148570738309160939774746322338391013364505392981546276587110106397958228710156330430630611946762300542929453212978369719867732476267100731404807494058123927882782439711329515997683378985758751916091798633409359695211434251340661876570871805538505915268746403094868120740344985696787085956315014257263728016909165822289936058878250220368503583994210114081949170782756313975340854731636634140310496038824357149525331486596134459661499391227063726280750247893885798052278765335863696956479930214731326080819130408112230673800929973165425502908999855905157207397597142950741154806372115125695510845842637506012424078771116407048421554200008087182561427385071918402168012907138223218520946934131383193659399922996673741183875708307469409738378280217921419686580260332971903127901246561161020158518542469564546375431866866148896741407190950128262620631864908027525419414396484071477289171014330139449257471052069298579955111223221159170184224830026150114245069524423425141351191970039623004055449774226664992292073886595506915998395993843493234389559636375449660824712937129091679738008989310198720519067771515276458891207034012633232945318534155974489903125259925399274402052725310097491252082724160298818735504120000320806864220980423067802813639363175022777293650918445339943687857917097350241442418451702170431791642427209494617349893934649153885519078758114647528435598920644779872726657398241917842073744866051290516356049095686373322989625360872703966060351879812142823123665290422218609060210323634889935127308842949225289283858208727300763682270878007607063422591561488443692431854000361154186832739123355063014487743194275473994711266188138984236219793452194646194046238569613162060758595629264367996265799812319873455759678668048565013529600046556401208119840575193199005851255726451888226729019659157440015884758564796670455744816
6,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1392000,2024-06-11 14:31:29.417,77907453888637613101882326931693163129353805702737853503391320793033677585849507710694885984016972685530322069061910664009474901554072711774627308019374643650000157828099963305498383654516046348228308674606629903678687968350303200024870612399669272014615798222626534542029154122547353437139608074990542658930591061251406142724871898831861774233468547027673341029877817490956380830735807357382068873931074844667330659356580823766834305190694981510930527544513498766937806927274536859830831056107950134633662364074524482660793061987356865337908383351357730954289464606733914032277718022800260441244891653770758449762218683456436016807107567432883722180216517190705889627183364993956137177448208649527972138548495023852026327166098314876527267889821714675631708882255047452170360837434507240515660824268168258358057635851203272040115197160788462805891613766377033705219348382545045397467567246609211845589532018678943669571020230315271308129897819355423411874511845560873757577704630468946301898639117686769719517711974171279734903188454115825851787588881339814715246728521307209412491132815099324566008465596640961303654896928125982770761660280563073771302695832063447079508609290869455286961350184704091588518804210088917574929248554441024041018092638121020945256282053870306056136879651074000828312195267205213228451250227772282372650985865386929769275729607578954812587938779087606054877324990645237975451526212578791715905416016566180011658922438994130853528939366202461292189587424841290564884205643159859877388897258498589632417497926200229988047700347085711756481286451572862952077490146861598551373209250470912868909284103173314469328243304326226080301373286083798787672846560936083641014224884044026993694022951274664540605998165557936100858145068397295093221755603635719329944905499899416771135090465482033518963936345368186635465540239759245481457208465432559493092485091364203460046696922958714685250718787771946097483110260329834788885318511021490146275634989149310627911136241403362233899035757018039589794879515190267910195013682036194176759891758225112521319828062362994746942936755540920844731383600981234150854948939590443339928571229981958188083276757598367620517412991437569672076438688766759432719950759852242549309593536377633695905336270531802054628977058368285895405661805350022827001528518959405499761071492844574126171213894497459809937277424739780722348159768282341463760101748811470663805256610922988911120225202666450880694180881399463125
7,1,aef9f51f-6292-4bae-87db-c1962c2a616a,37000,2024-06-11 14:31:29.599,426932591694329744295514986146069572946623417067167132960311030094078759293403618206858813596381900290648022840900024797632274433304218624912979573802459074650177661094438574476650843582357395656711299725971996764156532229568158819048600615488811767627766054964657079259322509054383084975011782036260477319155873361240834213749390140389677787286031607136734962065666127315043218638690630292045164543302143084900821176291682794842364566503852335278884434020119715081425287743764828648081967437540299703820485892756864394145858422947082741893655044128277716492261384470517869094690585783399320911098496459196958933065111510245760006345603496326001797416938894052883818012985305565852169976020716430888460835587096891057012314803716039628005383840020749961585959808831453840501149498213403286704961297805691720563629331860246926691378528544513553792462110567365870535095114643828241553028047332081717707369644498853248535643629792318725394206325817205320962897916554601691272245447226595169462451221774710864522464313388798122112365492314267813848089915113498503841649505789489717533562607374553338920468840301023554339469021884791953119338356748855714661871433368980226747397610371018968248894193839368673503755372723803326648885938031249890660598991988927621952697939434386517194884415892051353702936893477770355347898425999758381105904791372131008226187812937294782373012139876624311735711744988782911948046425429535971524671959196990175292043506347227822235888284828487911103841114159601620178417679440168429709627423172303008362873208138564768537792437013772054429664726472681413741996424194807474664794223145310572437629172916535329118175106452417151593090092714477810473743508343813839446976545406756834160846204909912131014583146293096711683895080437878430933479678997251932644049076499613531039838778084859746928382914795267001129745441995334728359115421889427408318234945368453584393607552063862142920999769041858310951299698733876263282022205750614968917730456740391436918029167096490168646969428625641541924222574038034565214518563803859021663584978884625151693886924770777684135815249001301398099272412870020717007827301600603544715649335529169130690237262279115758211960993073264399347005034040237047523914214826105339982036614573082437456011613202932285653464457067728754383803239178068423798482942749408494866397864535883479156703677965296916687425448217985965663743587599140568307244854846626864678032694184195654035000774082924135426610465711811677402
8,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1449000,2024-06-11 14:31:29.782,352049327344860747955415655465647394527787263867490687116578854195344879409469630395271961042503734538738659404368929536938458525522170888474674299459896087520334703484103738973978458887312311247040343012163595393229814213810444924498447599641957139068555547132961209924951039109998889952467247759628404847996734575254791974264981164134495419071706809425121326552060672944572558319802089719613711680927763206933240395679395864146985636421886249904388333171561051290582218180202035185556548347839417054872444458368213635818294696927775371105302712497156780088433611233399190843349194055105781251202204839172101465797872197377935733502136541387212484701624668124671322296050744786100770714747750282804925655094518997051803188799110307930572784486516301778465101193522330765184379070885494849943857405190198195154782458938816730072871822150784884588890655092480511532594300914974192007284601556383139010655437648236430529629890668346135905542621025714459141590767069731554931715441381936643297691463685482913327675590579995369579672317361368188843804060213869955327017019758529788378583051214790746326312394155157514237944652450625536070086873765761136925540524876069637291980659043045362439144268008581124436703346418494362462722440169716268458597851627080948496055208483215311393521207560818962550842730717903467749482019937284395407119147378320067325843181905349044417948609121925207726965310301212854414211148523890040984384564767798543385285308516318091224309456339553752325578152646585265809782222178728420076724673080106366702007790516510717717117200278404971319501661641433929529658458437140828282871919227309179517862856925840609268357619047972691239486170801109610998030049826539713805574744364374169850789210504691499495039480602266506073283549255334920390435508842541027625436430265206411014830974515630565098164319932081883951986749426058948225440388710099494609274472856595205405916861407542059617621068076715361970076666918339694718062163582810092335363595139679671811082547198747449839649994302238958012758853255047036221686425034890106295219427676633083168549315954343095691073278434678572829160729037829448557807418177470456144261103742432181483545919277122015474537779855403966925139490549133712446520518985683744396003469338353141270652923170905565233727718921638048328577601533194916732165353300694169457182722448283896094538976026020616606549110363585771601928766059296723774337131780629013548313265857252707353981630490564889735283136560776031088
9,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1993000,2024-06-11 14:31:29.969,272634041727392402519844403420809027149321170673968988052530226807444155509871877470832105340732666485125220631178916893496265086713194310811367750406540701439974302265052850321677518192895125868121987831810818881656630316436176236204409542549982332941821336680709368659704046381586295901009300187737578214827372389278911075616335594253668028531474869063642851759522883904741063420411036509274732393719661648552506089672477893910293288023181185822519535223556630190365617285847848006449611427929454344681228878160058888985504235654392213505287085129599541382536033015235179968036810586240424425957603685185150963151906561563420832343508772113850322333958026574999138456347065607167995567741331239873129164066690618027876165776646100428659142435945152734736117611217531081351437266486659802002502932504569951539558935489839878169644567152234239766838773714223653757433139155809902414556348667368051188359596739171200050103576268353433797328166488141396927695200562082757132145772705801487141125385743837540170900794089581827867864946860808249367349212354752766742472575335955505357622538999692822094449017333333660516722753301120415342263977551837413012529142353996610727231643875666668044649965751318457032114780903330953586728975394988412487416574529953909619164678075733690030704293058835137201057260898013193497104141442067217935528583028860971853859262852455898233184149312561368483671119726848931138702375148093429057503179981247492289310456887014400377825611291266533365151180981176789313120839932542907253233342605348396620427237184877202335731349673390561412026164203984280859502248232309913107050672302030076399671368616648178294327696975171784256746248200140150862807184680226697494100740737664089356004648534417693130046552542100475819022928741987243069299557947159781636456726627764529690413778671666795428122525438356918867492929283156434993953693834938142507384602783163103919168486695332752829859156630024524491765573824887615819880670432346824046038765504655168712155114249712400615291529004684285348912852567934864195570331583691750827254288687030070045098313029773914497256934565226602323748175226230840248017706171978962254193370331456744152017139649609968987610195966784567352758413306201489832832483601597973539594460865945542521242899125836110129733453557395688062270707147112816317636084948087795617287505759534115996486577710335605323911818363520566897593204309080125546362558267769430358042189571437671815511270577918846138088775708700238092
