donation_id,campaign_id,donor_id,amount,encrypted_amount,created_at
0,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1311000,397456951578243286709829933250267196393894017559376713249031797766840117282627197858582838250050876213703355218678673471361602085704780453102861097657406523686893661644867144954570740009463486525518946138525943920873471621495644166278559419468482096839999247158462849247869949220937098078053973967187166867492048838166590268505509687645352727428798087356751601256947863688882992518116148300520278500876484630762153442831109480456845878542468034921142895404584886997436619090743518105569537424874054695186777478683566600910875531351311834652031957501134338431086826508739368202749745626345790562305507282668284566592810345592762521157981008737857554097282175075976624734703288112232070139044454263114200996324792006040568945073706485905571327488075688324776594573981057849763726509979149633588150948042274550162469172134954872368664121319688280794539597272301236493327852546259456084980905259232184304124244289569953424924682822067514038799407513200889650004489658812215380478177380368843938944988557311293804268656673523738742681039630892234884023687146278503495903889860934459462540046049687078468675023692512677772856772765565268509784234525555057428590909091458168204970085576295097164613166942868142327333264068573368461120803336013976524422354488835963190227060119939160328869933284721340235159747994081951918916400357698071049697177383047533705843479130036030987963713478892417190778911526210165253901305920417692888137967857747248113837439795996040057963462207437349946653072543276222192690597983121615849009170481046423817760423985397377956811862723303918413755633943979906614896600571516959584983904504505416354031940717776978586370954678980270163641602774637847464732866722994356490725835320075764866969579194922602226800785498308189469715661044225411028131511248713184475347178409851115430197025130218902205606553257911242608170205932357406053971617563489393200065875527676097484255506754801875326100640540659243830818391963336203689631901744524725020220013677621913385615007975189285912766493913860255364659309311967776484202156538031778624299784863433387687133831000276048589125704138056925941760483958300511572392267757486148898805915156399985965053924710834713580675125382857264880236027676518469856275781469589912740892911889303240150218366061754292822778643452310884297203852689383174622652766759403579275725680737478629247236596965311552243389898786087249964085584232081665515598356218476531374784652171330327611074903745253526976881264877221452429767270650043582283665972419513322052077274002506327348652723103309445559554511239109939348207875747174624630749914725046752296111291942941365333285195171169532738537447134201727835000920565874767392298930769094921948425798441827040628872391444241284968274519639171610964450395657622631868326974205113466183786028904641724611103294177906476790073019260707320671259275802145197871652171084725018435747555199418178745837540817263136776768945424094028638838405879167856778444219096393995961572025362849819172833958281142584125238116247504453485507748729470274389203189342583520207503671317861540823603489974035665701065265491604178858144240626151805875349174185304120997468038444253929407226204465789685360586991793311319063461159354502815390056970794412916289228989174746094396063523425564645979384964333080588681567483653724639591850708509447398176121028128466526329415814592515715052302353769376994704975567389169500236126304181336466612131242972902205019475447008211755640197027890362912003012808705908661879724498676827381182118435197345404186101322614175108814446798955300156606540075815977728869017878617649470429602395814311426417194098111992217876031337765340895197755156261695096245745201189318021823073267246842390934108923163,2024-06-12T11:19:09.185Z
1,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1008000,389432874531416565467735542294002329047708667824327863742086680252792371848026324249603913483394727062790855464771004936850939222064647112626534027200245458823725210255305000628898087677294254946382688202422829732985260239525092267703138252294967354250523504119614509542519998754131871122907028612458428316131927397422373918290247134860709149630778781504968537689092143181728505538277316409907358961095154102280387797140771580410806012528160456057169938213106490952009794425905392150731666587478621733425295924196857658579848838671120806883130074936853483190722799612087203180652208951894829419298389762403545116747318583305173532320561468627979518398692267855925558134604358575784468541487033097230253139404094976020451577703410302335920654944308966957271179767351769820648856249974032042483232425004341272373386002606853615867616415762088509520967583515698905407514384557779106447148436146741048246894953166489405371325719710538673151262016298977677329611373037002431065982417357980192466820389389036842110388770955831943948319792569941906762907301440968750296730708608680669033576607899047388031132620233175062125155844395872964640823656796173605743215293553747509670727722796223918071402915450738170940243733487842566149977646989825281112675098589638025762670349401754881537142119899074002126909670953415469647690580651546782901660325447189877497233036853109608271561225691581984956705335394741727190145715710388405628855493548605300412774071489031624818138336322238077300778536895457010252478262993595512128259309932160966316185159877537320809091213684857991012947687441688218896988657372784762496562322018999308028773969970687347239905651024938881699549880086097883421168913874530065071079365633619044490982867786460605053953019885967583464454873196604149932912682227966612265183496938335127463183782651476048287432854745236877875809999824097531806531158223900348819233856675069882850038822610149142204257812206198851293376941256125873854951884093808946391590643761403412723267617242591787629262977239427878237207039590479574958246387348332883159770700248310753597602650525747152313852815836840915985631234050831823769682426150973370231567657084512925347746107673745708173176736844553762140351389600330168007950526293859450498521005547095201002930517714595253185371004054761864031773973068521398276890527506441209724569686059818682288300314526870554525470762470911687716742461787658760768614557060951427401808978886216450736853683207822226617758569115288045286159192540504694270917461309514655228063502248814728407159047485282833388722045999342730785148826635338152101713172397194795244492613725947432858556237647170066564561418628791357133715036872625956631483988316879164931890442896329576037957378195007321523492619372083808678368460346099936033359263759583219094442074101567755040819245611287671780672827746805944341990651661014538999647474451315232841131196782558322645619825683342666571923535460643587332148654321466592849932081923245459478392554053250715295556604330688925121652019287988915774204160399093675436299251976056880247843492243527437252721415908998614295091048964008663471130982567455099679802174155305930320585430907846864673562178968458594926511970705412111396325931514691933155894308338555844938072238048199786528363236174915784929939160325870833885034482943384377483206264306655600757452606414871792417971901332847980863723966870629463621803609732596312420609079928795434393017905061127454726102046831591954829867784149448402842506059251893420370634481811456542017914849163738218857247566206452814396019090543862455509545561191598890763035330604113326392734406197365414855849783094224590710344170112596919041573399934888846332103021949402206115758743068996572236043130137,2024-06-12T11:19:09.719Z
2,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1325000,399465408873735548298419905768718735668460382148442384231527263949315233293608373733893166742851668144752422288855637424544651181852844515216024190968664396351583490691489154343247012903501263783088613204053560013727833806829763900735144642342468436148065411923723605369976770834031938869710746543503803624257502241886988070364097574498142764844080298847193692492376892027463722153767224675004219561163484121757034521619175741360259499179096732944562218710895728974591154789873390676064538705281402167517320225367484311136563552372114038080528268697236303624038365280406493124102166742115094449163123082258330624974617401277140088069595084226937459441897781253152907701742245317945802571953511333159124445645719369068622986268369557266241391128486598896353191019443214859435189345144942481910975950417801271455361996689600091589513076699472581472663887426988443227715352395814868772119832489722742835577911199713657318743431492246115935171649859524262929291069205121199515793837026379590616384754559084862837619516694406913542186813557929345753487807569694520072632638023198533632025563451565547886438496181781691469225129933735672388499753622556583203622549849960757297197680574443361189190816019434043445889585351215391161981934675046924573282784127589831486609128916928068676836748770225277609003902411634382515475712272377680571889290243054233644498066774850998850827502295409552732396146438777401122180044401757357738426274535204797888880137142017992878676129290480365361591546237844358613682633624857128937624346057601964569380325622819445381433319295112019533668263651675957067278047960169488922961527952770148263647287564720618403563458450985146098142340002855604222238462291980573418757989382956730033457886824194081588972520904979287842484741110280382436757582920910253431760878603779592790510878069935027227401771062782857634513775056402031076717800721888397693312715958401805805647372078560382539873421134608091397691285977323263336622443110259234894764687890644858602827387474912486546971790071650458357436297711678266653739592004091889935669546277628049930621779156992663627247715754486780517203185980863569310637815868227235927960454872695470501175941761241463810433485143286194564289861224883485723393295828630474763311888695162944960417194193245453042803766927381465837261348271027278852752575743431525613290628558444004893862350183265777629345099852317049264376192093874225181279380017737160626708684443529596564236963250328271737657406190931422755623454181755079169332620698595750748888661576355185669289164633244257544045502908202879481937892475777036751199386622726235066687331116333759736076222584516596511028337200712489103768430513740742691696536238385288941701934456637974319507885133969401544821580698791204878479786939254915451700585112998660087285166083713098997383927120256640940687533535357251605976925580398494340240831654455446825154225994456084103879943204890898643209117645609862681653607104151147637711811205162367817610764481683427655653013496190872618063316499661526602804424311502231812204941620376109068583163933850142963983027627677610407156089444557625802289081089661523383309099533087575523325124513150008806934947453180705195716627721062408101164534648024885066524635844006227291863242097434921254638126458033412390288513104289956908353914539933556879251227746733187312224832450762089405113467666385186259793375174314721006344655927335674836126501383113120788503600312354197790415141448388510960194107282596133620653149585054481064728250599042959793453714718005659834860585245057243279044335764878978660754939020722689662396409774176596097358482792927550442144909187639030999956076510844996658464242498611255799558553509885795568131412671130882751765760906,2024-06-12T11:19:10.259Z
3,1,aef9f51f-6292-4bae-87db-c1962c2a616a,790000,278644605598349900730072398969969980005298716975981730629086248889707250011506760542317056902904459691454739455521971324458975212375550950775240315867413953088950122083282123849721338619347099405201291146582904201454589932939480875105952359830442179984223206081740801393049995522526512990370619683750414963089370662276763395173601576449083539698115895280502580986327616630607405015662823791481219350182294204924036749761150407960676366484853883303814482794281153827935946358125632203264345515879704176922010551301622829499280185234072096850870767701482646168854947711827667114774779411032829489862143848054734546509797046935549169406495874168532890696177677931060977477482805205338346147315602695522413630556626168659984904853531094371513535441380549159993694617858729131026012050932036839967964087479634998517881999237399524794913589956018062841929416680800200101439911285651686718176149257823289192614703711413364417013409425448036610852156662878196285509270672097521010650095633384407506563864493663460298978864073280487190275670962461357833457154963069625153307548079263386229238088019165415979074536915154744872534686898539704161078052740981455046173435436076372686110065790262896772468018662980476432555769849065894621550714492605172637192822350441530572855549995955600808924292088689200953950213651674760185829439111120029673589247469495049712373753923299155874363467510753286387028357421508814818849906480233643237413381739163379176194402301323979121300276695341511591367644364554491316119383948148843924376364276840948157181637553378247903675538468782216941622529091317991123849561771956065561637167375669128202765661801322951205287957280020925429057809077641149888512018192320991223653472290563461883831896779330975067699299947221735457686340635817769927555690087791684142787548723387501917341512844105354291183138883520427934647716230674959661512672268567780263393253009686452690703130270482451238976313258913569829394678148448586911637257107423019066369997310646144299935069789064051063884897593336015748690880772027689259724123022477730287620844087110951899416783441317174710338417048162475545389476825229187333765525733498462528285957463094533699748424720400190591974283372533099950279451704320931840933708980419121810709177180799248599657280566307280080755930541307144361190802522995639381642821041088947871266706832945977693497739607658930919088062595172285753776701700569737675237708619756364859412647783908248240866688289785053444140721357183881508262380970251582727420660766405860374724091814762003087489008947110690985451335292808532059495320208253234764503895549482083917248553304175131016753766636523006235700455415594988865137447184166605596833446219392987568584692858998277737062783076928773953934017917767838107836821009548704847167426018876151192632146810131776014078807501586307605845420838746079880750528269854990662152554932967936417918506970263399814559213231205282774629466527933345544919767438196735291366680787477189985668874333896706338149917627583628506691281618045961580815577616225229237683503597116485811831190087317029231081734046663852422856425571049985878114554130716850818486762931111617441604844443634901352463880560696154610208213078171331117280713679137413467664151625216785445317422482246049847909820189239539011960428858450904161612006590273317957184152568271367360648911183130028857552899252462760300106853371329199206160299412435366605571182356438888475684153414840685923587973499944395022295008296500435915038313773004702761653231798946986043645412896599402349865296351537950169163282500558081193640645428923315177201529789401243116265395652255497383291216602074185965676588854393019743349988324146509461841549918307229899468844407238848415042098245,2024-06-12T11:19:10.808Z
4,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1071000,121670027040310989896945745465796897974932650797688407803057854058307118561164529135065520963669591409022581204839728271968276701736281807851096380103125729681532508825778244034594485092221863835639258186748510154653193080819392117617900508501597312972567810679622897363830434599362586386573574017235084809728680788465735345357648767089999653562660083879191481524828214539729143973593840953275328804927248620442071239182456990248168439485616655573093219218642088489794918905266521073683772740757252582562159929964833546990771537177900166628101696297967453190494764720861199920706211893129653094658226984165644858337414337200979581509806997678405092180695456727112928468878359946667241998564571580387891019932523074858469834543389936724242288629908619134674703361603174998754364256532994109587938021410816831155059334254335831040972778038289572443085326997740406427898128810885252956997428172323505905928683519549697091031873276286546014841415102490994402951326098197118827143167549233434304998554508588560896942760302676162653366372339079143838453178551409805787912941694434885479649711897223276745908731525362213617652656140060740013223708142881809615119011246037512395463220115411256537489201992238280124255747680279862009192903782741195872381709415246584329180596677190695221786959607193133957671646727761145164095396568636115034748281444633749572204933023714883484853313005011119965842092124072298709052308548111746061670122282182741313929305369048340856527796024647407125735742306774942967059313103398891962383746921441499677005333581353466140067182066565231166641814340953337472738695828232514092156118194223204059249668788700371637917239767624174596944408158935334293112395778656312170876673079839155276789010562482692017628259904283555099155251326375526649394435948568981169732718964846278952164929891945721962976230787908278164937188334466151182894942224941312892741779164891489224212945886705179982866357874673892938940873139358565678247871229701085658000210722624777478572211088362863337375358736187102948982709258511794641212879140093082136575764184985622198576718998290413811591949338686447572735351288447818746192070265646938580861632181793288501528414862963298839803068284745131781646712554337644412031326811712971814188329976787734504019309007650831058159881213907049630627784591499548773380745379673359858783201860524438202193569148625691636757270061332635597432044484619252980248851912799324606132608146017395640594670126199309848613501806049958709540664432406117246764580838946778781553058775793181837493027174444999061064231892576465005990700977786736460906543348968957104678554440299449375140394633652157169910340096116504188516356213427685495865106932383183067001884044840957351711176526354187677474891722260881023438991101762489444766148560178358040214373165446889401859594385790148398935562939479743944435414585459335052151594175818918900119648496295557767781900183905895494019733080917793307139922815337491097977850197083893804669587583250053389461565452095014860691972419336645975937304437382905950091550176851420707918308800955216464802749285767496096361525017172658641547942443796542691479681890813845504672288681110088274018351986280081563256929414560625841984545683551903873798891560103667889493712063527093796233969815441271803180158943238744166914746792353074644441731161330835355807363154143208411702617349483027563172952667080136657676693652621579252339774751975570004812037914590442740324952986299360374898755976689151080128770693540618285596200744779486268571351461823402837659105780313153988392585203941347962722049293165032489061041141751161523388463837335371540370064775870196315312777568232947339943961652870725967249224708012779794470808984870285563576050473,2024-06-12T11:19:11.345Z
5,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1198000,110834546386317116761580236347274979545509535186351779788725338034152078299528449226434214946205256511826499848234466448825876055065507714641854564333268390356845056640805286691456970222973712838963559940917050110713752849864924473801115780788509973216393360324270631261242518542668623688850528954972574483911360998897656533913404691240182273448693040908964247375675958969493525395122628897203609857340152173453239342922307692354241112834395681691643637007239610433015980804873744722217676494621565732034892324204467784143825949079756568237339671901668540779774096643829526139099966560376110542133155739701236807716657766143537179362195803126792306733818869555442922436696413263982736138360352382686940772243482358012933973812953150250051187688547198751410092423820565610255530153875225382327158844196559097830120785180315662306935381318510163989444660523488084306645203052699491148092336765238968938295051314412616578724093118291140535309642054415382189031345704395258782896295019387422044708906659913778004374352961073654682315496069664535192834275432667696032904057498807568405257156045729198903999255342847726648733285002206686620200430452928973374643291270894757467099646132151365073081567154330383985359496152919350654432491541191018756994370899969717453703475222031308471065553436439349793093108279757940697126424539450895389412020110597530649954751073621726543103473509674012552951510020517514551525822508916042926462955983035109727719708660316487919042375617762918254800841959022314950276945773170184202620814422517522666645187313451715477475369012263359571923267047536418505828866883967579709795121348843867320848813202145617927729474328101677647028767396283148653982398432449356463873882657774191232486306085399884262738909511277451687459441172570909024202910552746836519464082066654396180456389077536319670380460314943178097281802096643699166747635392638125052086271871714426962589853369383714669122740801967871837345945897097080776949581492815689139679507170524085490704229314332811561439733127734655885122278449277431420088044729496862834633518191926475943365937606061493072566560829935176169746374709558486583911082077080974485408627738753035035449952711906353783847942574024949317124158511703657761282106402195278931667465270378083484281459606607085516539380151656623467097592474152623696687243001234972476802780714439588304701640742803431127194652165969759398781784745239543031169618039243408338126506471171116703976448611791618792927104101629630576876349631880838515411116638382681889821405375846683789601393531933992462901467124271023162410283148166080644405535998632149229959554539083597837888401051291934530104708475560173698994968665217035991467443598074532976711714863216586916692156096550827161559747783934712259406478146080617169418511537685957430660008338037490432105499780374306488101524746280870569150331303962692307227858864265971672999324618079638753653516685363632017634263204926916305238280317923156230068836473098563357611499854639034472799736723180158035707423956783235290089480342633888445676619986540427945046076955979844527006646500528982667246846191747163945320372143375771393522957280700674139731551322593293653887775950122154236949626069653212795027131587871400449002804441372898130661928528428079263419049021210333762445060334427011120866126634416387706164375172374708888955806524306001693807581752414941050527825588441534547796368846728446140289276723760424980193413109346130812158813873968092329948483757108922182309568899833285688631904581119599171029627910152927578340531956191832121478250122657620430079309017826729843662198421236612938764385451460068775767210442368651601442324123550617124711608782318004195359413758090337983376933840252462576063761812,2024-06-12T11:19:11.888Z
6,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1504000,293899005215471810329934363800483821791451995729825552301027783130017667216377829175197811939791227617934340836128732975222172378813710095030756230307810066746926464624953770973541528893002968744845363198904263115174780813886159812619954404128236119567250482475019590676682143301164781976469908779426512688926996561006728130026389385257002510052971587957207192935824749403980909197915508753169923194039396080238718854357454892561560895731692540501741655413866298480194932190847659143235857998343879247072450872352749971493141346319521461806298590515948718878639680744872589798125821273793528846137404619670382560212731033387391053953142238844057440116706560054330726514018965951739281921315057748262106259371580603463483967846284399110628064710028149520970361434603802070563665646314251055656069988551658425198740976133416461094837660986196043252488525058811234666825897405198789381148274592761167044889143153426653077673513049758871679812088579029387391178086246515868639764702219170006395390079604712109168759149063262662787355843401093093459909415648085045711590048032248741042413981072363399029460248389823089437418458438521277617882313738688676607233645980941325120866152915598714378612996070617113031758221512839654899494067050046995863353177525868124218898418034587747077167778641876033258775382900252939730463037938028583829513062951472792684817218671659661786091575679778040690527291443635562523635807765527897987758886836595295384205763754657993507655794905046568184860313296430583016048802020181557964180712100932020031862357680184016517165209542892180265678301329897243958813312655952117686122746236161973939772787865337443714314054239909969210302024492739596520612645074313846754461484914961977108994392638850007481853796959152720008109943684241986275816986014807158245374592155479726722625920593144428658237964093899042970211180995440909213767619635563627107312688612003174118991933284251854043956091703126533120423675162788775541785624903638563158402419834145389119900744164096327717959609539230033174643545918238028121726557667879530010949792096826594867368055416343164686138382652501975844986444759772418866232936879158570124843729232854812407540169189186529333135958291231758245990016634130876476886013924404510723868395630121998817623492722112792760230281873971674448482032538580649045191986759900334334804978397320450325476547100367543854978648907579872171714899728733853475104896296408044771027197330774032996804444773732555332343196181304947445636428262360277110193295648489368439766703097374408462160172798704787254603055849061262621372185360953041291344471576552264087317407930906322085218945493070788451102893958331804886900188808619972888837022247754991747552609964747042871737289354953280539329272389842499431799585032537860081037058936703134315085889093157892798242219781894510384253741333355985063488499809346964090560340786351149863379971830505755644835898135017986997759159301564581064599409775078041144724774917453254197682940249536079771683181782558548795765042725651704624237758873556520386777332668812452034576449509506889271607782339016169999638329133202537989402933920447436635337311686732377617508362149950752683609026134080445177539162252696592473341608925871646570875964039897203179808343915431586647488261075684388502010450442955494786307112069737207152719549238854234494939011941422789453520901670906779589075431212116095776321302895591571256577159401349530031950321533200813559352933005054069193968406530187299404703956556934528332086859145816353072039822004748187962599764396582232560019326925064947297295242647174313414169757953355744267027133784489396292139879968731674078725543899728421357713954887789871680860570162528632798385762917003452442857884937,2024-06-12T11:19:12.434Z
7,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1840000,178903695373832085916949840188222976492241889265654987018183936682552538078098293395107447452880050792644427878862717023458375338959168769193386522492587910038949078249814663047814745990419447595895006369149333476066185774913465467376611614003653625656048707743289293231941487292166066016442658559402592459047100130525076177134710832853165128234745000378814568898242518630208276494254725796291641004323356676340133015147952008508281122139428128322328971472128344763296628416317599304479775798473303913693025270958549614217004146834104379281604093868511234685913939302990597877721637134620581714625899509624910034016395346253755320280889746198011523868837570157408441244558809096198053841771060910368035203067118157746725542795776955862425709883987593253229847719114611251845901280391997524262341184715038394282947775146199480444752996876019249723030739002974876158672998775542432676182694489473032382717368652735783279861544124921296322793123074526831642204337562786306948156220493048230280518802362203647642573592514200088543504698609342210522249770193805258161766207747622950521211994376883370702470289815730921710053457918232809553324149744921214824236577413067279045775188808681173421045373147849632987793822238613386498847917903903336024512030886124018148854521833856423481770787919836586902912808694314661364435055114083059217854551557293072654088779825866969378550624596595659501721298112082082361847954723332782173033127586287538725293768642072462867127064958653223077248064302418419808087186999901365662733652890439302784968452715350091704041680404723247509642447123971092032592248715785236938925291191843340087764097940671665706240900142858466339711705305647519834402188997080430134128920139787688732666917486380953259805989619427244610121614712235039837529122141339603250319406867441346003737388909537191123678222159245274788856183024421999812026790907413765913804162630953879175010931085198737339621265007759321184271016117131230441829357017762915301151929813704563183890471366477858571897690646613120652125806253752109288359687405819403733949502197855104572077059988845496561939348773484347062260201337169923834512491507601407025164579634820408273140677717756372551066524217561481967982041558492000550323855226766498029589515414843824914474956074729299873780507821082105600077422908730572336014707621692537315024138006439985055989214842650986564034390013119012784556796454522461761133287233669954655477222423522353992502320763965642089617991298260240413142563107210469224080765674479335138656590796090221648669394586364592658897311094430181908661018619948578138754780021636462101622687125775071995431857868168234571912469223398095233399994560670063868910188239768459876282723517301782244480109749804255848924842806040490540522618247258115650159228043929047953467622089296344432156138323460877681889791961027997528774995166563389101258937455050676316843672271027832751966567948459614140976446204405895433824413426526374785262966392328391225006609799448288516112576801128989972141361861474084658371337495153966219776556059313588505661890920762375679526501522071539456642027829313072695106609821803006743979216484779290907697494497962485027754900925110130719416710754923174325759254215173478934891320032908392259013275946761704634075685702685342461591704015715520087781116807933395440676277919879952888868487251031266460969978859002546592044365973127447260196831396043502424874561203464458511534086441788481309035534707276756934403647205296639592461202791474163015007331842859293462537122161446970222422053957339881340896698082490625985730793178558474600612560080258566621898736336019760779054908682043179802616525895282666434862368319734531972658468889637015709413473690705279191052168985,2024-06-12T11:19:12.981Z
8,1,aef9f51f-6292-4bae-87db-c1962c2a616a,1886000,99073071741842977798987062430777797838545201531890599288869021316679247565710320552512475982749473657679545008685806821606416017750285113071455432706772053018837624108636796056581860043065664757959758475790589628889948626472051771459253151836177667399631839376647366091238303882629776524352371287569536442930116648124677431933885478696159937494380267383497051999083782031677507414638082295988448595286825946419821990469347003979862407561560675513929861529480761208953507681535095113922128084050357793556316785920776495095647108463758106442141302263969507821465764199173898974780760564693528998577808831605024015932083259293154063774208010790431132942288040136122354604401317965239733647686355386128960074050873521139616191836954048394642727406044946089080042877329288506048998689233955846908732856498724015493778143414395942212388100961396536488329669588024327536030278337472989806671536393790145293979955692787656885532185288291368223781789936392444940437453743480880027911650376467447530210268665733114313975709016856384623769507502223674736133502720586085832176181449763875255543601886047434558391354244369354148168969567191028701480527618315833858074308518311251813056937043023430154687544430275672595398866595760648479426544226952047773046435501514292961267851578639168793616656083755629585173249656792909655368526682838869710429190276284074512007179429004473785439925230902111468468978513296418012839930544742057508208153249373246998600782597529525090670763233226982584346562371539686924565415699611735165686414496661831416094589415399631001689610271235909216200004548180603979356165494902708644101794658266616965488373560411588895581304319504245053335435910894967145328367224230094467530898071143993874613226754861436779908688546631003495529974175101338157848151176900522109773689272459009531713051131028683094709935070014502519922342353639943700556411627031589867666535753758853837120798050354675789025369556030006341142417299903664151273914838882488938257355682069033193860935008400456371623955681002958792000076971553482667726756924286398536371984903370267712226366618512403877380084776957571126169983187799270086493377190189958996055360509403697144945921131492710294388113421183873371990884397174350996474614274054028524804465825065708958029722489399276263457883572991181301778380704589228128986484076437277193617882118597927237684138076102365121644684852553206744615921386022641737984900385973294665015046103675729918083837473168967053053484490658883968421776342513103205972910945455719123402500390973871287031761238726072458783778922262257174421827689654316118634864308261250180523112909167822096481001962298979856024954173233030084296145735476729291416824834763220787125471173314290474117767994916075621515333161682332554994833691290460095451666748768978788160202760305310784002356049790481929729397637818019446418869513850819614617786249239166414028146803714171957234214917249929855148316633894311017540990833736281814571656270913402006687359628981159181349478728712188162327455117072877282775403712798763920832520871255647142522623261078067147971547853251770527291701484078091513501904785006111958300438303665749897654467159649090402292008872140247217351952977968997312876458066799798480719253419565860166761329800993333746153022241844581188259826076417536326954204860254071230817238596970250001295755139950486729609672563000354542811031056924713874026828727174223681411621366680043287376263137901707007883318846195941002746765773306540739528628652423981477289296856494438139794030467872637791794363360648959813697135034751756967296170743076217792989435587223480129100513377222502878832550256328658044788631329352499477623625550795646806847038418603126569424777450669093638488341540,2024-06-12T11:19:13.527Z
9,1,aef9f51f-6292-4bae-87db-c1962c2a616a,270000,106294301851195078824697076170282318863592409577640649132346399085437702610198599095213468660150903932411276732992469783819624182616344255906376451654859436512046841562281808579504786327471151661659779952518586206297808600777735397644115889359610198026177335537429717195706973159975797460908642430330484165238610470433357538582100700607934750781825765430777224911672148612580113817803257470292732619980274219592006844747808002795443619805221376747465081844837985091616180830202525733842799962759471017084071472799292509546028505490960444164983683207403470078445173788128908101586263054036887506653567548866474516406519263056663448611254457397706511113204884984048263471916985572014205679222507869496310276034114124141167056767973253512859758243896645143155063970248525849591661454862926315006127963378265199197548073719845723306762913662117971242712007236304854916425536972475107521439699622214716991537036707832763786696580656362753110017871588904350902907827622224177954056246234421435162651324449222436744148313326169059675911389650003441727912324371008323390716279710022610166539221266896336706389786610522673058599537211772909472612018566199319750657394103100248827673624224095152168876498531131788319475471296249661774424072841423180608882369345921634681124263445713375714671945602398834669851143924811297996765773408628081164526904246023886462646046259851516927085274853121372747106877660428777008990156520392792322024545060545652651349416078364505807194159470975581709446609279456100337202377196327049182846203542317813723233654582674320797294713407433281625551674815468430876417377205379625261611436659890122078744422079087046764709888017486357532458766452069100223163666980481264740116215651788726407167104696759687029305040991461730797740177232190089806002465339834994958695474613145195327687913364250164105276674270861819859776099564579104935861278923916472035323933913998824349368936367780050144701564210423125011763586927233550801192421344462524892764604910023548986147944552685965967250335417683015358617730841550009699309927194927236210863775245776639817507135941889854998342468590466761980832190057935849494220695969685711425090670490163695532698450692644350548635091647761818669546809824053906329841003844080815541065447020407201198899436297875450726057666308826586081991960052578986883071529715162040395887840119514167109654814071365235318343589250153105443796384821007716894430456319795433933269245586258671178527309883601002082825327345718112786665995128432820286875944649415445355403172113288043977400472663816727447202957573036276419871521616817467145877998364808703236437651995495746743550818168252200820125302219102608689168842271218614971231119637926784078496319796484496840179743998815938235715960681489231869517297121518352133445660045831398428537487967899353452088577516180885419708017421434337370377735114626612730669850089200410429934786042995590189833625528309556983731363938686359012043008169963746599404305666626851272383230288419458250872911984341492469850406907962654610303480302067288846013338076656717100120715673498219866101503183225941675648094626451257176233597138377625501591143695432497862765953334367081347947370427813918095277505162274959213748778090630353694521951256703078654538536022894720957406291345785772696253277803705482534635256546099401014381122942113653036136181440755677476957569499402461733930284015134699872318592895755167492124367187430984363678133150271365178782174397167128617381235259191139354011051071821401453298851398985358571287737498449961628250630654816841860174449617030297451408333804301035863927833010382814142884469807598802450199071367100481733438940823605907284125536045287777199756637605006991341139481776480519862541951523,2024-06-12T11:19:14.061Z
